Villi,Num,Set,Int,Hours,2-Hydroxy.Benzoic.Acid,4-Hydroxy.Benzoic.Acid,alpha-Cyclodextrin,alpha-D-Lactose,alpha-Ketobutyric.Acid,beta-Methyl-D-Glucoside,D-Cellulobiose,D-Galactonic.Acid.gamma-Lactone,D-Galacturonic.Acid,D-Glucosaminic.Acid,D-Malic.Acid,D-Mannitol,D-Xylose,"D,L-alpha-Glycerol.Phosphate",gamma-Hydroxybutyric.Acid,Glucose-1-Phosphate,Glycogen,Glycyl-L-Glutamic.Acid,i-Erythritol,Itaconic.Acid,L-Arginine,L-Asparagine,L-Phenylalanine,L-Serine,L-Threonine,N-Acetyl-D-Glucosamine,Phenylethylamine,Putrescine,Pyruvic.Acid.Methyl.Ester,Tween.40,Tween.80,NumRes,Avg
High,1,1,Pre,48,0.687,1.447,0.313,0,0.123,1.427,1.267,1.043,1.443,0.073,1.253,1.167,0.47,0.583,1.737,1.037,1.75,0.313,0.093,0.5,1.497,1.993,0.177,1.577,0.057,1.603,1.19,1.457,1.077,0.9,0.767,30,0.957464691
High,2,1,Pre,48,0.083,1.277,0.277,0,0.027,1.397,1.343,1.197,1.053,0.043,1.403,1.487,0.417,0.47,1.823,0.597,1.653,0.21,0.067,0.713,1.493,1.96,0.013,1.633,0.183,1.733,1.17,1.127,1.147,0.803,0.777,30,0.333921824
No,1,1,Pre,48,0.853,1.307,0.203,0.11,0.02,1.07,1.42,0.78,0.923,0.06,1.173,1.313,0.11,0.08,1.323,0.217,1.497,0.027,0,0.667,1.15,1.607,0,1.43,0.087,1.337,0.86,1.113,0.833,0.537,0.427,29,0.640705185
No,2,1,Pre,48,0.073,0.773,0.007,0.007,0,0.163,0.013,0.43,0.333,0.063,0.003,0.277,0.253,0.143,0.787,0,0.067,0.043,0.013,0.073,0.66,1.377,0,0.92,0.027,0.29,0.09,0.467,0.887,0.983,1.277,28,1.384264604
High,1,1,Post,48,0.087,1.03,0.003,0,0,1.323,1.197,1.087,0.827,0,1.217,1.037,0.327,0.36,1.073,0,1.387,0,0,0.293,0.837,2.113,0.02,1.59,0.11,1.247,0.597,1.107,1.077,0.8,0.993,25,1.194245751
High,2,1,Post,48,0.55,1.36,0.103,0.093,0.007,1.353,1.063,1.117,1.247,0.133,1.29,1.28,0.437,0.347,1.467,0.033,1.277,0.017,0.017,0.763,1.1,2.12,0.043,1.597,0.35,1.533,1.01,1.05,1.293,0.743,0.967,31,1.099509401
No,1,1,Post,48,0.263,0.85,0.48,0.01,0.073,0.957,1.19,0.58,0.653,0.143,0.683,0.98,0.143,0.187,1.15,0.02,1.303,0.073,0.037,0.763,0.797,1.287,0.39,1.07,0.373,1.207,0.62,0.717,0.603,0.373,0.49,31,0.530967834
No,2,1,Post,48,0.287,0.853,0.123,0.057,0.013,1.233,1.133,0.773,0.873,0.01,0.76,1.253,0.16,0.193,1.007,0,1.54,0.02,0,0.567,0.947,1.573,0.01,1.257,0.237,1.26,0.717,0.813,0.813,0.45,0.593,29,1.442694784
High,1,2,Pre,48,0.383,0.707,0.483,0,0.037,1.023,1.047,0.57,0.747,0.113,0.75,1.07,0.137,0.207,0.897,0.03,1.227,0.127,0.037,0.66,0.7,1.423,0.063,1,0.343,1.2,0.777,0.783,0.74,0.353,0.47,30,0.398446373
High,2,2,Pre,48,0.163,0.79,0.047,0.01,0,0.983,0.913,0.293,0.66,0.143,0.683,0.893,0.283,0.1,0.95,0.007,1.29,0,0.007,0.527,0.687,1.233,0.043,1.037,0.24,1.22,0.62,0.753,0.677,0.413,0.617,29,0.798026243
