Time,Conc,RT
0,6355,14.28
0.5,5983,14.28
1,5770,14.28
1.5,5812,14.28
2,6776,14.28
2.5,3456,14.28
3,3652,14.28
3.5,2849,14.28
4,2328,14.28
4.5,2166,14.28
5,2467,14.28
5.5,21036,14.28
6,546929,14.28
6.5,342915,14.28
7,492918,14.28
7.5,348371,14.28
8,275438,14.28
8.5,221333,14.28
9,134302,14.28
9.5,153890,14.28
10,135322,14.28
10.5,80763,14.28
11,104484,14.28
11.5,98036,14.28
12,81553,14.28
12.5,85614,14.28
13,54603,14.28
13.5,64450,14.28
14,60826,14.28
14.5,23412,14.28
15,34852,14.28
15.5,35306,14.28
16,29346,14.28
16.5,34477,14.28
17,32809,14.28
17.5,30047,14.28
18,24372,14.28
18.5,19014,14.28
19,17125,14.28
19.5,21866,14.28
20,19182,14.28
20.5,17277,14.28
21,16156,14.28
21.5,14134,14.28
22,3975,14.28
22.5,9660,14.28
23,11457,14.28
23.5,8264,14.28
24,9370,14.28
24.5,8457,14.28
25,8713,14.28
25.5,8034,14.28
26,4318,14.28
26.5,6688,14.28
27,6101,14.28
27.5,5000,14.28
28,5780,14.28
28.5,5721,14.28
29,4847,14.28
29.5,4907,14.28
30,2388,14.28
30.5,4128,14.28
31,4006,14.28
31.5,4083,14.28
32,5401,14.28
32.5,3398,14.28
33,3053,14.28
